Variable_A,Variable_B,Variable_C,Variable_D,Variable_E,Variable_F,Variable_G
Human Services Assistant ,10+ years,,,,40.0,68347994
assistant manager,6 years,,,,,22289987
Manager,10+ years,,,,,21378829
Sales Manager,3 years,,,,,47073715
Vice president,< 1 year,,,,,28600195
Office Manager,2 years,,,,,55659298
Construction Tech,10+ years,,,,31.0,65597441
President,10+ years,,,,,58972700
Cedars-SInai Medical Center,< 1 year, I am a full time hardworking Registered Nurse at a very stable company ( Cedars Sinai Hospital ) and have always been dedicated to my commitments. I have been working as an RN for 7 years now and with my job stability I surely make an excellent candidate for making prompt payments. I just need cash at the moment to consolidate all my credit card and personal debts totalling around $22000.  I have a very good if not excellent credit history and will definitely appreciate a personal loan of a reasonable rate  at this time. Thank you so much for the assistance.,,,16.0,540620
Preload/air driver,7 years,,,,,46262188
Sr. Project Manager,3 years,,,,,20657404
Sales ,1 year,,,,17.0,58851550
,,,,,18.0,64877058
account executive,4 years,,,,,43265551
,,,,,35.0,47833985
engineer,10+ years,,,,,10288367
,,,,,44.0,7019173
Eligibility Technician II,3 years,,,,61.0,59590014
Sr. Electronics Technician,10+ years,,,74.9,,72399546
EMI MUSIC PUBLISHING,< 1 year,,,,59.0,1108340
Registered Nurse,8 years,,,,,12527387
Design Engineer,1 year,  Borrower added on 03/15/14 > Debt Consolidation<br>,,,19.0,14978631
Guest Services-Night Auditor,3 years,  Borrower added on 02/18/14 > I want to pay off my credit cards.  I'm tired of making monthly payments.  I never send minimum - always double or triple.<br>,,,,13907984
Field auditor,3 years,,,,,68518372
Supervisor,10+ years,,,,,18645497
Owner,9 years,,,,34.0,55466645
Warwick Mills,3 years,,,,,6049099
Oracle America,2 years,  Borrower added on 08/13/13 > To clear my credit card debt and part of a personal loan.<br>,,,52.0,8312374
Computer Database Administrator,1 year,,,,,46301932
Life care center of Escondido,7 years,"  Borrower added on 06/08/12 > with this loan I can pay faster my hi interest debt, and help others in my family.<br>",,,,1578723
Sales,2 years,,,,16.0,20768452
TRUCK DRIVER,2 years,,,,,65477691
Executive Manager,3 years,,,,30.0,46341961
Manager,5 years,,,,5.0,67109516
Respiratory Therapist,2 years,,,,,11067293
President,< 1 year,,,,,71265824
IT Project Manager,9 years,,,,7.0,64716047
KTEN Media,2 years,"  Borrower added on 03/28/12 > Please help me consolidate my bills and free up money to help take care of my Grandmother.<br><br>  Borrower added on 04/03/12 > Credit Card 1-$3164.52, 25.24%<br>Credit Card 2-$1453.43, 22.9%<br>Credit Card 3-$1658.39, 19.24%<br>Property taxes (my mom's I'm paying) $1543.64<br>Student Loan about $5000, 3.25%<br>Medical bill $1931, pay $101/mo<br>",,,,1452382
program manager,8 years,,,,77.0,29333085
PHELPS MEMORIAL HOSPITAL CENTER,5 years,  Borrower added on 10/06/12 > I have a few Credit cards that i want to pay off due to their interest rate.<br>,,,15.0,1846456
,,  Borrower added on 11/19/13 > Home Repair. Replace A/C Unit.<br><br> Borrower added on 11/19/13 > Home Repair. Replace A/C unit.<br>,,,37.0,10801883
INet Sales Mgr,5 years,,,,,37005876
"Ebyline, Inc",< 1 year,,,,,857291
Superintendent ,3 years,,,,23.0,67823381
MAIL CARRIER,8 years,,,,,27829781
Air Traffic Controller,10+ years,,,,,28440569
RN,7 years,,,,61.0,56881926
Alaska National Insurance Company,< 1 year,"  Borrower added on 03/11/13 > Pay off credit cards, pay taxes, and a little bit of money for travel<br>",,,,4670888
Johnson & Wales University,10+ years,  Borrower added on 12/19/12 > I would like this loan amount to pay off the remainder of an auto loan to reduce my insurance and pay off credit card debt all in one low payment.<br>,,,10.0,3177209
Fuel Cell and Hydrogen Energy Assocation,< 1 year,"Hello, all. The purpose of this loan is to provide the final tranche of funding for a long-planned, extensive interior renovation of my home. I purchased the home in October 2009, and got a great price because of the remodeling that was needed.   The person I bought the house with took off four months after we moved in, leaving me with the mortgage (I hold full title to the house), and in the financial scramble that followed, my credit rating took a hit, as I took out a bunch of credit cards and had to carry balances.  Since then, I have landed a job that pays more than both of our combined salaries when we bought the place. I am an in-house lobbyist for a clean energy company, in a senior position with a stable, annual salary.   I have a monthly disposable income of $4700--after mortgage payments. I have a tenant to help defray the mortgage, and this renovation will help make the house more comfortable for two people who do not share a bedroom. Right now the layout for the kitchen and common areas are cramped and poorly thought out--the house was originally flipped.  I've done as much work on the house as I can with my own hands--extensive landscaping and a new patio. Now it is time to work on the inside, and I am no plumber or carpenter or electrician. Because I haven't been in the house long, I'm not eligible for a home equity line of credit, but I do have a homeowner's loan and a personal loan from a credit union--however, banks are conservative these days and my credit score is still recovering from last year, so it is not quite enough.  I am turning to LendingClub to put me over the top for the renovation which this house needs, so it can be the place I envisioned when I bought it nearly two years ago. Home values are going up in my neighborhood, but I need this work to allow my home to express its true worth, and to be more livable for me and a tenant, as well to be more attractive any renters or sellers in the future should I ever move.   But I'm not planning to move for a while. I love my house. But the tiny kitchen and bathroom are starting to drive me bonkers. Thanks to all potential investors for helping me realize the wonderful home I have been waiting for.   I am happy to answer any questions, and thank you.  Update:   Thanks to everyone who has invested so far--this is an exciting process, and I hope we can get all the way to the goal in these last few days.   ",,,15.0,1041684
Clariant,4 years,  Borrower added on 04/14/13 > Chase raised the interest on my credit card to 29% for no reason and I want to pay it off.<br>,,,,5461943
Sr. Career Counselor,10+ years,,,,,42771927
Sr. Software Engineer,2 years,,,,,40605255
Account director,< 1 year,,,,17.0,49262782
Penske Truck Leasing,10+ years,,,,47.0,4235602
Project Manager 3,10+ years,,,,17.0,60597662
Bank of America,1 year,,,,17.0,1808911
Shivita Films llc (a delaware corp),4 years,,,,14.0,6487193
Manager,10+ years,,,,27.0,63000545
Central Station Monitor,4 years,,,,24.0,22291444
Engineering Supervisor,8 years,,,,59.0,14298863
Correctional Officer,8 years,,,,5.0,31136092
Kohl's Corporation,2 years,  Borrower added on 04/30/13 > Home interior remodeling.<br>,,,45.0,6057845
deputy sheriff,10+ years,,,,,26217883
University of Kansas Hosipital,10+ years,  Borrower added on 12/09/12 > While attending school to further my nursing degree I had to live off of my credit cards at times in order to survive.  Now I am needing help attaining a credit card refinance loan.  I am hard working and employed full time.  Thank you for your consideration<br>,,,5.0,2828687
Metro Board of Education,10+ years,,,,79.0,6067482
SALES,7 years,,,,,32257447
Driver,10+ years,  Borrower added on 01/30/14 > This loan is the pay off my high interest credit cards and to consolidate all my debt and 2 buy 2 doors for the front of my house!<br>,,,,13287636
US Army,10+ years,  Borrower added on 01/05/13 > Pay down my debit faster<br>,,,17.0,3736774
AUTO TECHNICIAN ,6 years,,,,21.0,62352836
mechanic,3 years,,,,,54665381
VP,3 years,,,,,38691447
Church Planting Catalyst,< 1 year,,,,41.0,64876811
Engineer,10+ years,,,,13.0,67731311
Marine Transportation Specialist,7 years,"  Borrower added on 03/18/14 > The Loan is to pay off two credit cards, eliminate one and reduce the other to a $3K limit (currently $10K limit); pay off car loan of ~$3K; pay off personal loan of $1K; and, make needed home repairs.  End result - no monthly payments except for mortgage, monthly bills, and debt consolidation loan.<br>",,,59.0,15080157
Senior Com Spec,10+ years,,,,74.0,47377575
whse manager,10+ years,,,,,32798314
,,,,,36.0,4593955
Werk-Brau,10+ years,  Borrower added on 03/08/13 > Building in ground pool and pool house.<br>,,,,4639976
Branch Manager,3 years,,,,0.0,67249996
maintenance operator ,10+ years,,,,16.0,49746622
Network System Administrator,10+ years,,,,74.0,68318487
Staff Apparaiser,2 years,,,,,17772552
Officer,< 1 year,,,,,40070464
Lowes Home Improvement,8 years,,,,,3872963
Meter reader,10+ years,,,,,31637301
housing inspectoe,9 years,,,,,63880393
manager,10+ years,,,,12.0,47132361
Horticulture Support Manager,8 years,,,,,69545909
operation manager ,10+ years,,,,,57455123
legal secertary ,10+ years,,,,,27259106
Vice President,3 years,  Borrower added on 03/12/14 > To renovate the Kitchen and bathroom<br>,,,5.0,14788101
KIPP Houston,1 year,  Borrower added on 06/01/12 > My loan is to pay off the credit cards that have a high APR and replace them with this loan that has a lower interest and APR.<br>,,,40.0,1567359
Manager,10+ years,,,,52.0,50227141
Porter,3 years,,,,34.0,8966997
Sr. Partner,6 years,,,,,46498505
Patient Advocate ,10+ years,,,84.4,,72676866
Daktronics,10+ years,  Borrower added on 01/20/13 > Loan is to pay off some higher APR debt and add some cash flow to the monthly budget to pay off other debts.<br>,,,,3931881
Tyson food ,< 1 year,  Borrower added on 07/01/13 > Shadow Vtx<br><br> Borrower added on 07/01/13 > Shadow<br>,,,24.0,7667609
International Account Analyst,4 years,,,,,38811474
maintenance mechanic,10+ years,,,,74.0,11029461
machinist,7 years,  Borrower added on 10/15/13 > pay off higher interest credit cards<br>,,,,9679122
Executive Assistant,< 1 year,,,,53.0,47883036
Graphic Designer,7 years,,,,50.0,28643407
Service manager,10+ years,,,,,16731189
teacher,10+ years,  Borrower added on 12/05/13 > Pay off credit cards<br>,,,54.0,10296770
Anderson Equipment,10+ years,,,,,1267975
Owner,10+ years,,,,,54827557
lawntech,2 years,,,,,67870856
Territory Manager,4 years,,,,,41901997
Foreman,< 1 year,,,,,70730405
Training/Quality Manager,7 years,,,,,32497886
MB Financial Bank,7 years,"  Borrower added on 06/12/13 > Debt consolidation, home improvement<br>",,,26.0,7202614
Supervisor,1 year,,,,,57954662
adecco technical,10+ years,,,,,874393
911 Supervisor ,3 years,  Borrower added on 09/24/13 > To pay off higher APR credit card debt. One payment.<br>,,,13.0,9004204
Sales Lead,< 1 year,,,,,14510917
Purchasing Manager,3 years,,,,18.0,42425881
Legal Word Processor,10+ years,,,100.0,,73455862
General Manager,1 year,,,,,64816281
X-ray tech,10+ years,"  Borrower added on 02/03/14 > Dream of a lifetime: I am an collector of antique dolls. Not only are they lovely but they hold and increase their value with time. I have found a VERY rare doll that I have fallen in love with for her beauty, scarcity and investment potential. I hope some of you can help me achieve my dream!<br>",,,,13379646
Manager,4 years,,,,30.0,66422612
Insurance Denial Specialist,2 years,,,,,41361320
Sr Data Scientist,2 years,,,,,59056246
SYSCO - SYGMA Foodservice,< 1 year,,,,65.0,4579909
,,,,,,65531166
Administrative Legal Assistant,10+ years,,,,6.0,15369667
Food City,10+ years,,,,,5256991
HR Generalist,10+ years,,,,,62383151
,10+ years,,,,,13797199
MANAGER,2 years,,,,,35513116
Assistant Professor,< 1 year,,,,,10781284
Cashier,1 year,,,,1.0,67986118
Manager,10+ years,,,,,45912276
International Bank of Commerce,9 years,  Borrower added on 10/05/12 > To consolidate higher rate credit cards and liquidate debt much sooner<br>,,,,1862061
Flagler County BCC,6 years,"  Borrower added on 08/13/13 > The purpose of the loan is to consolidate debts, consisting mainly of consumer credit card debt.  This loan will enable me to pay these accounts off quickly with a substantial savings in interest.<br>",,,,8331882
,,,,,,61595805
Senior Programmer,6 years,,,,32.0,58658926
US Government,4 years,"  Borrower added on 04/13/10 > Purpose of Loan: To pay for part of a home improvement project on my parent's home.<br/><br/>Background: My parent's underestimated the amount of money required for their home improvement project. They are short $10k and need my help. If they do not get my help, work on the project will cease indefinitely. <br/><br/>Personal Background: I am single with no children. I have no other loans. I am an officer in the United States Marine Corps. My job is stable. <br/><br/>Financial Background: My net worth is over $50k. I save over half my net income. I have paid off $40,000 in student loans four years ahead of schedule. I pay my credit card in full every month and use it only for big ticket item purchases. For other daily expenses, I always pay cash. I drive a used car that is paid in full.<br/><br/>My monthly budget is as follow:<br/><br/>$1500: Expenses (rent, food, haircuts, gas, uniforms)<br/>$3300: Savings and Investment accounts<br/><br/>Why am I borrowing instead of using my own money?<br/><br/>Because most of my savings are tied up in CD's, index funds, and other less liquid accounts. Also, I cannot afford to use $10k of my own money because it will seriously deplete my rainy day fund. And I don't like using it for home improvement projects because it doesn't qualify as a rainy day eligible. <br/><br/>Last word: My record speaks strongly of me as a reliable borrower. I have a 780+ credit score, proven borrower track record, low debt to income ratio, a stable job with the US government, and plenty of leverage to cover this loan in a worst case scenario.<br/>",,,,620593
Farm Hand,10+ years,,,,,17552332
clerk,8 years,,,65.0,,73475906
Area Supervisor,6 years,,,,,47065291
,,,,,79.0,59669814
radon supervisor,10+ years,,,,43.0,27820304
Qualified Profession,< 1 year,,,,18.0,18543971
Self,5 years,I am purchasing a campground which has been in operatiion for 39 years. I am investing my own funds and am using owner financing. I need the $12000 to complete the deal and begin operations.,,,,418833
Flight Attendant,10+ years,,,,,71320291
,10+ years,  Borrower added on 10/07/13 > pay off chase-capitol one-capitol one-capitol one<br>,,,44.0,9431339
HHA,6 years,,,,,11980865
Otis elevator,10+ years,,,,,8089258
,,,,,,57924916
Smith Watson Parker Ins Agency,10+ years,,,,,1888954
,,,,,,32578201
diesitter,10+ years,,,,,70370480
Adoptions Social Worker,1 year,,,,81.0,19927649
Premis Technician,6 years,,,,,62524047
Operator III,10+ years,,,,60.0,41220905
Program Leader,7 years,,,85.4,,72199003
walmart,10+ years,,,,,6992086
Orthopaedic Technician,7 years,,,,,60918420
Director,3 years,,,,,65025422
Sales Manager,2 years,,,,15.0,62978117
Marketing Manager,4 years,,,,,64707467
Member Experience Manager,7 years,  Borrower added on 10/01/13 > Pay off a couple credit cards and pay down another.<br>,,,,9320248
Macy's,2 years,I need some money to make up what I have to purchase a car because I wanted to buy it cash rather than taking out a car loan.,,,,532757
CVS,5 years,  Borrower added on 03/01/11 > Pay of Credit Cards<br/>,,,,879895
Baylor College of Medicine,10+ years,,,,,6917989
chef,9 years,,,,,44276298
Standard & Poor's,10+ years,"  Borrower added on 09/25/12 > My credit card debt has grown way out of control, and I find I'm spinning my wheels just making the minimum payments. My wife and I want to buy a house, and this seems like the perfect way to get my finances back in order and my credit card debt paid off. Then we can get our house.<br>",,,41.0,1831530
Vice President ,3 years,,,,12.0,65606993
BUS OPERATOR,8 years,,,,,58228834
Garvey School District,< 1 year,,,,8.0,1972875
Regional Sales Manager,10+ years,,,,44.0,59671812
Coral Spring Dental,10+ years,  Borrower added on 03/26/13 > To pay medical bills<br>,,,80.0,5014694
Programmer Analyst,5 years,,,,,11932441
Vertigon ,3 years,  Borrower added on 07/14/13 > This load is for some Debts I need to clear. I am a very good candidate for this load because I have a steady income and I never miss my payments.<br>,,,33.0,7858525
Federal Air Marshal,10+ years,,,,6.0,21789632
OMD,2 years,,,,39.0,945254
Labor and Employment Specialist IV,6 years,,,,3.0,73435498
LPN,1 year,,,,47.0,67731222
St. Vincent's Health System,6 years,,,,17.0,964696
,,,,,27.0,37977494
,,,,,,42223239
,,,,,51.0,7860900
teacher,6 years,,,,33.0,15409504
Foreman,5 years,,,,,71360374
Inforation systems analyst,10+ years,,,,29.0,64193799
JPMorgan Chase Bank,7 years,"  Borrower added on 07/11/12 > Currently $10,000 dollars in total debt consisting of credit cards only, and seeking to consolidate my total debt through Lending Club.<br>",,,,1667916
Compliance Auditor,3 years,,,,,62504034
Technician,5 years,,,,9.0,12886761
Manager,7 years,,,,28.0,19275510
Lead Event Specialist,5 years,,,,34.0,70974937
Director,9 years,,,,,70589437
Admin Aide,10+ years,,,,,67756989
MEDICAL LAB TECH,4 years,,,,8.0,10888938
Civil Engineer,10+ years,"  Borrower added on 12/09/13 > This loan will allow me to finally pay off my credit cards and start seriously investing in my future. I have never missed a payment on anything, and I am serious about this goal. Thank you for considering investing.<br>",,,,11267276
,,  Borrower added on 07/11/12 > This loan is too fix my car to go to my 50th class reunion<br>,,,55.0,1661627
manager/driver,1 year,,,,14.0,12587336
Assistant Planner,10+ years,,,,21.0,27969876
Store Supervisor,6 years,,,,,41439410
ChPT,3 years,,,,,31296341
,5 years,  Borrower added on 08/10/12 > This loan is for the sole purpose of paying off my credit cards and paying only one bill a month to Lending Club. I have no late payments and no past due payments on my cards but I am paying over $450 a month to credit cards alone.<br>,,,7.0,1725194
butcher,10+ years,,,,,17331711
INTERNATIONAL EXPORT SPECIALIST,2 years,,,,27.0,31667008
System Design and Integration,2 years,,,,,42495661
Registered Nurse,7 years,,,,47.0,41243317
Southwest Airlines,10+ years,,,,31.0,8748256
Capitol Broadcasting Co.,10+ years,"  Borrower added on 10/18/12 > I've been with my company for 17+ years.  I will be using this loan to consolidate my current debts, and I'm excited to know this will enable me to have paid off in 36 months.<br>",,,50.0,1896967
quality control,5 years,,,,66.0,19946824
Sales,5 years,,,,,51954125
sales,10+ years,,,,,26106408
Senior Attorney,< 1 year,,,,,37506823
Sr. Manager,< 1 year,,,,5.0,59693166
Representative,10+ years,,,,,22631543
sales,10+ years,,,,,54026056
Portfolio Manager,4 years,,,,58.0,65462249
Lead Physician Relations Liaison,2 years,,,,19.0,60155043
Hammer Residences,10+ years,,,,,8330042
Nurse,8 years,,,,,53333242
us postal service,10+ years,"  Borrower added on 10/14/12 > this money will be used to pay off 11 credit card accounts which include household bank, paypal, discount tire, tire kingdom, merrick bank, and care credit, and shut them down. this will also free up  money to pay down on other accounts to pay off and close. thank you.<br>",,,57.0,1884947
Postmaster,10+ years,,,,76.0,70373930
Chief Strategy Officer,3 years,,,,11.0,17392361
Administrator,1 year,"  Borrower added on 02/06/14 > Looking to clear myself of credit debt once and for all with this loan. I have the income to pay it off without a loan, but would prefer this way to better have a grip on my credit score moving forward.<br>",,,2.0,13657060
6th key carrier,10+ years,,,,,45799970
,,,,,,72488922
Correction officer,10+ years,,,,,25796253
Data Entry,< 1 year,,,,13.0,14507689
Director Corporate Accounts,10+ years,  Borrower added on 01/24/14 > I have approximately $15k in credit card debt and I'd like to pay it off at a lower interest rate. You provieded a better rate and lowered my monthly payments by 50%. I used the credit to help my sister whose husband is very sick.<br>,,,,12997162
Purchasing,10+ years,,,,32.0,32658909
Production Manager,3 years,,,,62.0,64648078
Lead Supervisor,3 years,,,,,47052815
Medical Assistent,10+ years,,,,,63387061
Compliance,10+ years,,,,17.0,28470742
Sanitation operator B,8 years,,,,,46819391
Senior account executive,4 years,,,,47.0,64587564
Strings Program Director,10+ years,,,,34.0,64902791
,< 1 year,"  Borrower added on 12/30/10 > Helping to give my daughter as close as I can, to her dream wedding. I normally borrow from american General finance had a 7000 dollar loan with them paid in full. I called to apply today and they are no longer In Las Vegas . I paid them off in less then half the amount of time, I had requested Thanks to everyone! You hopefully only get married once.<br/> Borrower added on 12/30/10 > I plan on giving my daughter her dream wedding, or as close as I can. I usually do business with american General finance I called today and they are no longer in Las Vegas. I had a 7000 dollar loan with them I paid in full in less then half the time  I had  requested. I want to Thank you all! You only( hopefully) get married once.<br/>",,,61.0,822820
Staff Accountant,10+ years,,,,,14809035
Business Process Analyst,6 years,,,,,66362198
DaVita Inc,10+ years,  Borrower added on 07/24/13 > Consolidate debt and improve credit<br>,,,25.0,8099647
office,10+ years,,,,13.0,42093764
Owner,< 1 year,,,,,70538804
Teacher,3 years,,,,,41288493
project manager,4 years,,,,,15100274
manager,6 years,,,,,16871344
Court Reporter,10+ years,,,,,42446254
buyer,10+ years,,,,32.0,12598995
,,,,,,4231303
State Treasury Fiscal Control Analyst 3,< 1 year,  Borrower added on 01/16/14 > I have several large balances on credit cards.  I want to consolidate my debt and get it paid off for good.<br>,,,,12480147
Assistant Manager,10+ years,,,,69.0,11717767
driver,5 years,,,,,53875582
Learning Specialist,10+ years,,,,3.0,50419835
Irving Independent School District,6 years,"  Borrower added on 01/24/12 > This loan is being asked for because, after 13 years, I finally understand how credit works.  After 10 years of paying the minimum payments, I feel this will be the best way to manage my monthly budget and finally rid myself of this past shame and free up some funds.<br>",,,,1355322
Underwriter,6 years,,,,,13968042
Fire/Code Inspection Official,10+ years,,,,,59053299
,,,,,,53847712
Senior Claim Representative,8 years,,,,7.0,33850891
,,,,,,45471643
Superintedent,< 1 year,,,,,41408345
Owner/pet groomer,9 years,,,,13.0,43590930
Senior Perinatal Tech,< 1 year,,,,55.0,64161989
Derrick Hand,3 years,,,,18.0,10866956
Director of Health Services/School Nursi,10+ years,,,,,70228142
Owner operator,8 years,,,,,42436174
High End Finish Carpenter,4 years,,,,,69833028
,,,,,,24754911
RN,7 years,,,,,19847585
brett robinson gulf corp,5 years,,,,,880671
Software Dev Engineer,2 years,,,,77.0,66382173
COMCAST,10+ years,  Borrower added on 09/06/13 > Medical issues are the reason for credit card debit. The problem has been rectified.  We are wanting to make one monthly payment in order to pay off quickly and not have to pay numerous places interest.<br>,,,41.0,8719490
installer repair,1 year,,,,19.0,51795396
E-7,10+ years,,,,11.0,70789010
Tile Setter,10+ years,,,,,30645776
SR Purchasing Agent,10+ years,,,,51.0,56287949
Police Officer,10+ years,,,,,15930087
Financial Advisor,2 years,,,,,46292522
Salesman,1 year,,,,52.0,66055089
Recepcionist,4 years,,,,,46112456
IT Director,7 years,,,,,29863366
Ass't Service Manager,5 years,,,,,47984165
Executive Assistant,1 year,,,,53.0,60908153
Audit Consultant,< 1 year,,,,,43305054
GM,2 years,,,,,58470208
Accounting Specialist,< 1 year,,,,,21268511
Staff sergeant,10+ years,,,,62.0,36745195
Wells Fargo,1 year,,,,,1017042
Realtor,8 years,,,,25.0,36055010
Kiddie Academy of Kent Island,2 years,,,,,8547732
Claassen Family,< 1 year,,,,,1325271
health advisor,1 year,,,,,23513601
land Staff Specialist,3 years,,,,22.0,40364001
,9 years,  Borrower added on 01/14/13 > debt consolidation and buying my son his first car<br>,,,,3873588
Outside Sales,5 years,,,,45.0,67600317
CHIEF PETTY OFFICER,10+ years,,,,15.0,69222405
maintenance tech,10+ years,,,,,49494023
Technology,10+ years,,,,,65812052
director,9 years,,,,15.0,65547533
Police Dispatcher,6 years,"  Borrower added on 02/05/14 > I used credit cards to help fund my college education. They're all very high interest and now that I've graduated and am established in a full time job, I want to consolidate those credit cards and pay them off quickly<br>",,,,13350679
Family Resource Coordinator,10+ years,,,,9.0,31446920
Data Analyst,9 years,,,,49.0,47143830
Anchor / Reporter,< 1 year,,,,22.0,21078272
Vp & General manager ,3 years,,,,,58973528
Plant Manager,10+ years,,,95.9,24.0,72197967
Engineer,3 years,,,,,56581211
maintence,10+ years,,,,16.0,21368162
,,,,,,44998022
Bilingual School Counselor,2 years,,,,,14968453
contra costa county health services,10+ years,,,,,8100134
Teacher,10+ years,,,,9.0,24054286
SSM DePaul Health Center,10+ years,  Borrower added on 10/22/12 > Debt Repayment<br>,,,18.0,1898332
Inspector,10+ years,,,,,66194825
Project Team Lead,8 years,,,,,34641346
Tire Tech,2 years,,,,,55356036
Police Officer,9 years,"  Borrower added on 03/05/14 > Almost done with debt payoffs, just need a little push to get over the top and become debt free in a 12 month plan. Consolidate these little high interest cards!<br>",,,11.0,14410303
DISPATCHER,< 1 year,,,,,54036531
Account Manager,1 year,,,,38.0,53907173
Quality Assurance Inspector,4 years,,,,42.0,71197720
PST,4 years,,,,64.0,43257761
"Supervisor, Customer Services",10+ years,,,,49.0,64352408
Sales Professional,7 years,,,,27.0,19425352
Bookkeeper,7 years,,,,,9678213
Systems Engineer,9 years,"  Borrower added on 12/26/13 > Paying off a loan and several credit cards. Loan payments are roughly equal to the current minimum payments on all debts, so the loan will not add any additional financial burden while allowing me to pay off - instead of just maintaining - the debt at the end of the term.<br><br> Borrower added on 12/26/13 > Thank you for viewing my listing. I am consolidating debts with a minimum payment roughly equal to the proposed loan payments, so they will not be an additional burden. I have worked the same job for 9 years, and owned my own home for 14 years before relocating to an apartment across the country.<br>",,,,1629951
Office Administrator,1 year,"  Borrower added on 10/18/13 > Would like to use this to consolidate 2 very high interest rate credit cards, would like to pay them off and get rid off them!<br>",,,21.0,9957363
McKinsey & Company,3 years,"  Borrower added on 08/28/13 > Need a little help in paying down some debts.  Have one big credit card to pay down and two smaller ones, in addition to a small loan to refinance from an old Lending Club account.  Monthly payments will go down significantly by consolidating.<br>",,,,8597620
VP Marketing & Channel Sales,2 years,,,,46.0,41115024
Army Instructor,10+ years,,,,4.0,55176520
Rkmi,10+ years,  Borrower added on 07/19/13 > I am consolidating my credit card debt so i can move foward in life!!!<br><br> Borrower added on 07/19/13 > i am consolidating my credit card debt to move foward in life!!!<br>,,,18.0,8016914
Campus Connect Supervisor,2 years,,,79.6,,72148247
commercial driver,8 years,,,,31.0,63466403
Owner,4 years,,,,,37557855
Supervior,10+ years,,,,7.0,59177406
Firefighter,5 years,,,,,32998731
Store manager,10+ years,,,77.2,8.0,72209266
Superior,8 years,  Borrower added on 08/28/12 > Trying to consolidate debt and lose the 2 credit cards I have open<br>,,,27.0,1770137
Manager,10+ years,,,,18.0,59729750
Pharmacist,8 years,,,,46.0,53532860
registered nurse,< 1 year,,,,75.0,12028804
Sales,1 year,,,,49.0,69485167
card dealer,10+ years,,,,2.0,28710907
delivery driver,4 years,,,,76.0,18393886
Senior Pastor,10+ years,,,,4.0,64891950
server,5 years,,,,21.0,64903662
Network ENgineer,10+ years,,,,,49544440
Systems Engineer,10+ years,,,,,31207008
Rail Janitor,10+ years,,,,63.0,53602425
ups store,3 years,,,,,1789712
Supervisor/staff,10+ years,,,,10.0,40070122
Sales Executive,1 year,,,,28.0,9266984
distric leader,10+ years,,,,37.0,69725986
technition,3 years,,,,46.0,31167049
Disney,7 years,  Borrower added on 07/29/13 > This loan is mostly to fund renovations of a 3 family investment property and to do some small consolidating of debt.<br>,,,30.0,8132741
MSG,10+ years,,,46.9,19.0,73518881
General Manager,8 years,,,,,49131860
Paychex,4 years,  Borrower added on 09/19/13 > I would like to clear the balances on my credit cards and pay one monthly payment towards this loan.  It will be easier to manage and I will be able to pay the credit cards and loan off efficiently and completely.<br>,,,,9041332
Clinical Research Assistant ,3 years,,,,,60747089
"Bureau of Alcohol, Tobacco and Firearms",10+ years,,,,49.0,2837114
DIRECTOR OF CARDIAC CATH,2 years,,,,,40020254
Sales,5 years,,,,,49960461
Milwaukee Public Schools,10+ years,Looking for a personal loan of 6 to 8k to cover expenses.,,,37.0,545163
Attorney At Law,9 years,,,,4.0,13977030
operator,3 years,,,,,12439243
,,,,,,63089383
Staff Sergeant,6 years,,,,,64805408
"VP, Planning and Operations",10+ years,,,40.4,,72210842
sheetz,5 years,,,,,7010675
Deutsche Bank,7 years,,,,,7421596
Mechanic,10+ years,,,,40.0,33039035
Honigman Miller Schwartz and Cohn,10+ years,"  Borrower added on 08/20/13 > Bill consolidation.  Unfortunately, we had a death in the family (Grandfather) and the insurance policy that he had did not cover the funeral expenses.  I had to step in and help, now I would like to get my finances back in order.<br>",,,,7200770
Operations,4 years,,,,26.0,63306737
Tiler,3 years,,,,19.0,33689624
Digital Marketing Director,8 years,,,,,57894773
,,,,,23.0,37097242
owner,10+ years,,,,,41322912
FLORIDA HOSPITAL NORTH PINELLAS,< 1 year,,,,,7117203
Siemens Water Technologies Corp.,10+ years,,,,14.0,7419579
Database Administrator,4 years,,,,,23212660
millwright,< 1 year,,,,,70397942
Paraprofessional,10+ years,,,,13.0,37727126
Warehouse,8 years,,,,75.0,43876724
,,  Borrower added on 04/12/13 > Auto repair- head gaskets<br><br> Borrower added on 04/12/13 > Car repairs- head gaskets<br>,,,29.0,5459598
long shoreman,8 years,,,,,68417921
Operations Dept Clerk,9 years,,,,,47885384
Sr. Research Associate,6 years,,,,,46386466
utility worker,7 years,,,,,36945418
Office Manager,1 year,,,,33.0,37607285
CEO,10+ years,,,,,51843194
Project Manager,3 years,,,,34.0,64162802
PUSD,5 years,,,,,864233
Quality Engineer,< 1 year,,,,,58741819
Senior Project Manager,10+ years,,,,8.0,54219566
Computer Operations Supervisor,10+ years,,,,,14409496
Senior Geologist,< 1 year,,,,,70268853
PACS/RIS Administrator,10+ years,,,,53.0,57055567
Accountant,< 1 year,,,,19.0,27690033
SchoolsFirst FCU,10+ years,,,,,1855576
robinsons ata black belt academy,8 years,  Borrower added on 07/24/13 > Credit card refinance<br>,,,6.0,8099574
teacher,< 1 year,,,,57.0,48941865
Payroll Administrator,4 years,,,,10.0,45291403
,,,,,24.0,30525111
Associate,3 years,,,,,42043344
